TrialID	TestID	User	SessionNumber	TrialNum	Dot1	Dot1_2	Dot2	Dot2_3	Dot3	Dot3_4	Dot4	Dot4_5	Dot5	Dot5_6	Dot6
801	328	TP01153	2	41	301	108	275	178	83	258	69	355	29	29	45
802	328	TP01153	2	42	98	97	169	116	124	56	158	141	24	27	52
803	328	TP01153	2	43	36	55	117	106	107	40	54	269	28	35	36
804	328	TP01153	2	44	81	62	136	88	39	139	39	319	17	30	16
805	328	TP01153	2	45	96	47	146	104	145	57	79	238	30	53	73
806	328	TP01153	2	46	114	91	56	236	183	79	53	276	15	30	61
807	328	TP01153	2	47	53	46	35	229	105	44	51	243	32	29	72
808	328	TP01153	2	48	67	61	192	127	123	91	69	266	25	26	35
809	328	TP01153	2	49	180	50	132	123	145	250	141	301	34	58	47
810	328	TP01153	2	50	26	59	133	72	104	77	37	242	29	13	62
811	328	TP01153	3	1	66	112	49	108	52	40	39	75	83	89	66
812	328	TP01153	3	2	64	120	66	77	23	69	51	76	114	127	87
813	328	TP01153	3	3	57	117	84	76	109	37	36	92	46	143	68
814	328	TP01153	3	4	46	120	49	97	52	81	21	88	69	107	72
815	328	TP01153	3	5	70	117	65	80	69	37	36	75	77	93	113
816	328	TP01153	3	6	97	131	46	133	86	56	21	107	54	154	81
817	328	TP01153	3	7	57	141	17	86	35	62	25	86	69	122	162
818	328	TP01153	3	8	17	117	67	98	68	55	29	59	82	142	70
819	328	TP01153	3	9	70	87	82	96	23	51	20	97	41	122	86
820	328	TP01153	3	10	64	104	67	98	45	31	43	88	35	112	101
821	328	TP01153	3	11	25	125	102	79	2	36	20	62	51	141	157
822	328	TP01153	3	12	69	110	53	74	72	54	26	54	51	129	69
823	328	TP01153	3	13	58	91	68	113	36	54	22	72	37	114	52
824	328	TP01153	3	14	53	88	75	78	28	45	33	67	69	125	99
825	328	TP01153	3	15	112	162	45	184	41	39	42	117	47	153	51
826	328	TP01153	3	16	47	126	22	78	42	38	45	59	45	141	143
827	328	TP01153	3	17	53	97	36	93	71	37	27	65	50	136	36
828	328	TP01153	3	18	51	77	48	114	36	37	20	70	58	148	41
829	328	TP01153	3	19	59	103	47	99	68	36	21	59	56	105	68
830	328	TP01153	3	20	25	147	66	115	50	38	36	75	63	177	156
831	328	TP01153	3	21	53	109	84	132	1	53	31	49	73	163	157
832	328	TP01153	3	22	50	77	50	72	56	34	27	70	60	113	51
833	328	TP01153	3	23	16	102	122	51	51	43	35	56	64	91	67
834	328	TP01153	3	24	81	122	66	115	70	54	32	45	94	147	143
835	328	TP01153	3	25	64	110	66	97	46	18	28	72	42	111	68
836	328	TP01153	3	26	25	104	64	108	37	26	44	59	81	102	56
837	328	TP01153	3	27	70	107	56	114	21	50	22	69	62	109	68
838	328	TP01153	3	28	53	77	58	96	53	36	21	90	42	126	36
839	328	TP01153	3	29	74	85	41	138	28	32	36	38	53	133	162
840	328	TP01153	3	30	48	124	49	157	39	39	41	55	59	111	86
841	328	TP01153	3	31	54	107	76	138	31	30	64	63	36	144	21
842	328	TP01153	3	32	60	104	47	117	32	27	39	71	28	135	186
843	328	TP01153	3	33	67	127	67	95	22	51	20	47	84	110	154
844	328	TP01153	3	34	54	118	47	117	43	56	19	56	67	109	68
845	328	TP01153	3	35	57	105	48	117	49	19	22	53	71	100	68
846	328	TP01153	3	36	49	108	50	130	36	38	20	53	47	123	209
847	328	TP01153	3	37	62	122	49	99	49	55	21	69	26	142	82
848	328	TP01153	3	38	75	106	58	98	42	46	31	58	49	141	88
849	328	TP01153	3	39	60	120	44	106	66	41	23	52	75	133	102
850	328	TP01153	3	40	49	96	60	139	17	33	20	56	54	135	108
851	328	TP01153	3	41	58	86	63	95	27	35	28	73	58	80	170
852	328	TP01153	3	42	89	151	29	153	36	71	21	71	41	137	183
853	328	TP01153	3	43	78	83	68	96	53	54	22	96	70	110	83
854	328	TP01153	3	44	88	109	31	94	68	56	52	94	59	131	20
855	328	TP01153	3	45	57	105	61	89	36	55	21	78	72	125	69
856	328	TP01153	3	46	62	84	53	114	56	22	30	66	72	105	207
857	328	TP01153	3	47	69	113	66	78	53	57	25	53	73	88	64
858	328	TP01153	3	48	51	100	46	115	48	38	21	53	74	76	61
859	328	TP01153	3	49	79	81	49	99	35	36	51	65	42	79	75
860	328	TP01153	3	50	67	110	46	96	51	36	37	39	62	86	48
11	322	TP01161	1	1	278	230	523	247	640	409	905	507	426	410	490
12	322	TP01161	1	2	210	148	393	199	424	296	411	360	328	277	259
13	322	TP01161	1	3	144	99	328	82	507	214	330	277	279	756	409
14	322	TP01161	1	4	144	98	264	65	345	164	229	328	229	1084	439
15	322	TP01161	1	5	144	114	410	117	344	182	410	262	273	268	423
16	322	TP01161	1	6	160	99	327	98	345	213	164	263	279	1298	504
17	322	TP01161	1	7	128	114	299	94	313	214	295	263	294	328	506
18	322	TP01161	1	8	161	82	263	98	296	246	180	361	265	540	489
19	322	TP01161	1	9	128	131	312	115	360	198	429	245	295	296	471
20	322	TP01161	1	10	126	83	263	98	281	163	444	229	279	378	426
21	322	TP01161	1	11	99	99	245	65	296	130	314	197	277	280	226
22	322	TP01161	1	12	112	98	263	66	279	164	427	247	310	296	456
23	322	TP01161	1	13	79	98	213	66	246	116	411	297	244	247	423
24	322	TP01161	1	14	177	81	114	231	214	147	346	229	247	311	345
25	322	TP01161	1	15	78	50	280	97	230	132	394	262	295	165	324
26	322	TP01161	1	16	162	97	179	100	245	99	378	394	343	527	389
27	322	TP01161	1	17	112	49	280	63	264	114	346	229	245	148	309
28	322	TP01161	1	18	161	50	195	66	214	98	33	460	179	132	358
29	322	TP01161	1	19	160	83	262	49	230	115	66	477	196	131	341
30	322	TP01161	1	20	144	49	230	48	263	99	443	132	328	410	441
31	322	TP01161	1	21	128	49	214	48	247	82	609	213	294	115	292
32	322	TP01161	1	22	127	66	230	49	279	100	410	164	310	99	291
33	322	TP01161	1	23	30	67	262	52	276	114	265	163	262	180	521
34	322	TP01161	1	24	112	65	197	49	247	98	264	180	507	230	471
35	322	TP01161	1	25	111	66	180	49	247	81	280	181	294	148	324
36	322	TP01161	1	26	145	65	229	49	264	114	592	263	326	182	274
37	322	TP01161	1	27	45	83	214	65	264	114	279	181	278	165	341
38	322	TP01161	1	28	95	66	213	66	278	82	297	230	262	214	262
39	322	TP01161	1	29	78	98	197	83	245	118	228	198	262	180	291
40	322	TP01161	1	30	114	83	213	49	262	99	264	196	263	181	456
41	322	TP01161	1	31	132	82	196	66	247	114	247	197	263	540	523
42	322	TP01161	1	32	62	81	197	66	198	147	197	181	263	179	375
43	322	TP01161	1	33	52	76	180	66	197	115	231	229	212	182	424
44	322	TP01161	1	34	30	99	197	66	197	99	296	164	312	509	473
45	322	TP01161	1	35	33	61	99	164	247	97	265	164	343	131	392
46	322	TP01161	1	36	62	65	197	66	247	114	297	164	262	99	389
47	322	TP01161	1	37	78	66	197	66	229	132	231	148	228	132	276
48	322	TP01161	1	38	78	49	197	65	231	163	249	163	197	164	312
49	322	TP01161	1	39	111	66	198	49	245	131	247	148	213	147	292
50	322	TP01161	1	40	46	82	180	49	264	64	280	197	246	164	506
51	322	TP01161	1	41	113	67	213	74	238	98	312	133	227	148	622
52	322	TP01161	1	42	61	66	181	48	214	131	231	180	180	149	307
53	322	TP01161	1	43	79	65	214	49	263	114	298	163	214	146	276
54	322	TP01161	1	44	78	49	197	65	248	147	313	181	181	197	306
55	322	TP01161	1	45	47	81	181	33	263	81	297	180	213	115	326
56	322	TP01161	1	46	83	64	181	65	231	98	246	246	181	641	473
57	322	TP01161	1	47	96	65	197	49	246	83	263	181	262	131	359
58	322	TP01161	1	48	33	65	197	50	229	83	297	147	278	181	406
59	322	TP01161	1	49	64	80	197	49	247	98	313	279	278	180	458
60	322	TP01161	1	50	62	83	165	65	230	99	246	165	229	114	406
111	322	TP01161	2	1	178	115	394	133	411	98	346	279	311	50	258
112	322	TP01161	2	2	96	66	214	97	281	81	280	837	508	114	132
113	322	TP01161	2	3	129	444	379	132	278	66	264	507	393	131	148
114	322	TP01161	2	4	22	59	231	115	312	49	313	214	312	50	192
115	322	TP01161	2	5	62	101	213	82	66	296	296	230	245	65	193
116	322	TP01161	2	6	132	82	132	132	213	49	296	508	376	99	193
117	322	TP01161	2	7	148	66	181	82	280	66	296	196	312	33	208
118	322	TP01161	2	8	111	67	179	100	246	49	312	198	278	50	208
119	322	TP01161	2	9	62	66	181	131	246	49	280	164	261	50	192
120	322	TP01161	2	10	62	100	163	99	279	50	279	132	278	32	115
121	322	TP01161	2	11	95	66	181	65	247	49	296	180	261	34	175
122	322	TP01161	2	12	62	83	131	99	296	32	279	198	294	32	209
123	322	TP01161	2	13	131	83	132	98	230	66	213	148	213	33	98
124	322	TP01161	2	14	114	66	148	82	197	66	230	131	180	50	97
125	322	TP01161	2	15	47	50	164	98	165	49	231	310	83	82	113
126	322	TP01161	2	16	46	115	116	116	178	53	294	245	393	50	192
127	322	TP01161	2	17	111	50	165	82	230	49	296	179	329	48	192
128	322	TP01161	2	18	80	33	181	82	214	49	345	147	296	48	193
129	322	TP01161	2	19	62	65	149	115	197	50	279	163	279	33	176
130	322	TP01161	2	20	78	67	197	98	83	197	296	147	278	34	158
131	322	TP01161	2	21	62	66	198	81	215	49	278	213	393	50	161
132	322	TP01161	2	22	163	50	165	82	214	49	279	115	279	33	175
133	322	TP01161	2	23	63	65	148	99	182	32	264	179	294	33	33
134	322	TP01161	2	24	110	68	180	98	214	50	263	147	246	48	143
135	322	TP01161	2	25	128	82	132	99	180	50	196	165	213	49	159
136	322	TP01161	2	26	79	66	132	98	180	50	197	328	392	49	99
137	322	TP01161	2	27	326	99	131	82	197	99	213	181	229	32	160
138	322	TP01161	2	28	94	66	132	83	180	51	229	229	214	31	111
139	322	TP01161	2	29	64	82	115	83	163	51	263	179	229	16	128
140	322	TP01161	2	30	96	49	166	64	181	48	232	114	328	33	143
141	322	TP01161	2	31	64	80	149	81	133	48	263	492	476	66	159
142	322	TP01161	2	32	227	99	213	116	196	67	279	427	410	32	209
143	322	TP01161	2	33	32	63	199	97	214	48	363	245	345	97	66
144	322	TP01161	2	34	197	83	280	98	246	50	280	180	344	66	158
145	322	TP01161	2	35	21	75	263	83	213	49	378	246	360	48	192
146	322	TP01161	2	36	63	82	231	114	197	50	328	361	393	66	191
147	322	TP01161	2	37	62	82	197	115	214	66	297	211	361	49	147
148	322	TP01161	2	38	179	115	215	98	246	34	295	229	345	31	225
149	322	TP01161	2	39	32	63	230	99	214	49	329	295	392	51	208
150	322	TP01161	2	40	66	82	197	83	98	181	346	181	376	33	241
151	322	TP01161	2	41	52	76	214	83	164	50	361	180	326	67	208
152	322	TP01161	2	42	63	111	218	82	213	49	297	179	377	51	179
153	322	TP01161	2	43	49	81	214	83	180	51	278	229	360	49	208
154	322	TP01161	2	44	83	131	214	98	34	295	313	148	327	16	208
155	322	TP01161	2	45	98	65	198	99	197	49	411	213	344	49	209
156	322	TP01161	2	46	45	116	280	98	313	32	395	212	328	65	209
157	322	TP01161	2	47	63	49	247	197	704	34	379	178	328	33	208
158	322	TP01161	2	48	32	148	264	131	295	50	328	164	328	33	209
159	322	TP01161	2	49	342	98	297	98	298	47	379	180	311	82	163
160	322	TP01161	2	50	45	99	314	131	247	65	314	278	311	49	209
211	322	TP01161	3	1	128	148	280	67	263	33	295	49	296	329	407
212	322	TP01161	3	2	63	115	279	312	17	33	263	82	263	130	243
213	322	TP01161	3	3	46	116	131	296	213	33	245	51	295	99	276
214	322	TP01161	3	4	79	99	279	98	206	25	244	82	214	148	242
215	322	TP01161	3	5	45	116	278	83	230	32	230	81	197	117	243
216	322	TP01161	3	6	78	133	247	311	16	49	263	345	312	99	290
217	322	TP01161	3	7	62	116	295	329	360	49	263	165	164	131	276
218	322	TP01161	3	8	146	165	361	99	247	32	247	115	231	264	210
219	322	TP01161	3	9	87	174	329	114	231	311	33	425	83	444	358
220	322	TP01161	3	10	97	115	312	132	278	66	246	148	295	148	315
221	322	TP01161	3	11	82	116	312	66	294	34	245	99	297	99	308
222	322	TP01161	3	12	290	115	758	164	378	147	247	78	333	82	408
223	322	TP01161	3	13	129	198	427	146	264	148	197	66	279	164	440
224	322	TP01161	3	14	145	148	311	164	279	33	295	82	247	115	423
225	322	TP01161	3	15	161	132	344	115	262	83	246	82	262	83	309
226	322	TP01161	3	16	82	115	312	81	246	50	246	81	247	82	293
227	322	TP01161	3	17	66	115	344	132	214	49	246	49	248	163	231
228	322	TP01161	3	18	78	149	312	131	247	65	230	65	248	131	276
229	322	TP01161	3	19	129	115	313	114	214	65	230	115	181	115	309
230	322	TP01161	3	20	80	98	296	163	197	34	230	65	246	99	291
231	322	TP01161	3	21	66	116	311	131	197	99	197	509	430	147	375
232	322	TP01161	3	22	34	130	298	162	230	50	245	132	180	117	292
233	322	TP01161	3	23	98	98	329	115	214	32	246	83	230	82	242
234	322	TP01161	3	24	96	99	328	98	214	49	246	82	213	99	291
235	322	TP01161	3	25	78	149	329	163	198	16	279	65	281	114	260
236	322	TP01161	3	26	35	145	278	131	182	32	230	66	216	80	275
237	322	TP01161	3	27	115	81	313	114	181	34	213	82	220	77	275
238	322	TP01161	3	28	95	99	313	81	246	33	246	65	247	100	242
239	322	TP01161	3	29	32	98	330	65	280	82	214	115	246	264	342
240	322	TP01161	3	30	96	99	279	98	230	33	246	147	166	98	291
241	322	TP01161	3	31	50	98	312	98	230	50	246	65	281	81	293
242	322	TP01161	3	32	81	98	280	83	229	66	246	81	331	98	225
243	322	TP01161	3	33	62	100	294	100	229	49	213	84	15	263	275
244	322	TP01161	3	34	63	114	329	279	33	33	261	66	297	81	293
245	322	TP01161	3	35	145	132	394	82	280	33	15	396	363	98	1366
246	322	TP01161	3	36	113	133	360	66	311	34	278	66	231	147	490
247	322	TP01161	3	37	66	98	99	311	280	32	279	460	577	130	1150
248	322	TP01161	3	38	111	244	695	65	312	49	298	49	346	99	573
249	322	TP01161	3	39	127	115	330	50	295	34	311	48	67	346	372
250	322	TP01161	3	40	79	115	345	66	312	33	279	65	313	116	472
251	322	TP01161	3	41	65	116	312	65	279	16	312	444	412	100	471
252	322	TP01161	3	42	95	132	427	81	297	83	280	100	263	115	342
253	322	TP01161	3	43	65	114	395	66	346	66	311	99	330	181	374
254	322	TP01161	3	44	66	100	362	64	295	34	278	84	476	99	390
255	322	TP01161	3	45	112	149	394	66	261	50	280	81	347	131	324
256	322	TP01161	3	46	46	115	362	81	295	33	264	63	35	343	293
257	322	TP01161	3	47	79	116	327	82	279	50	262	65	264	81	309
258	322	TP01161	3	48	144	100	343	66	279	33	230	81	263	82	308
259	322	TP01161	3	49	131	116	377	82	262	33	244	117	196	98	492
260	322	TP01161	3	50	63	196	313	97	280	33	263	49	265	96	292
3638	378	TP01528	1	1	77	66	116	64	132	99	148	148	114	115	45
3639	378	TP01528	1	2	46	50	82	65	134	96	165	115	81	133	61
3640	378	TP01528	1	3	111	99	164	65	66	150	162	131	149	131	61
3641	378	TP01528	1	4	96	65	132	50	113	132	165	147	115	116	60
3642	378	TP01528	1	5	62	66	116	48	83	115	164	99	131	99	44
3643	378	TP01528	1	6	63	49	131	66	82	99	198	163	50	114	61
3644	378	TP01528	1	7	79	82	148	49	82	97	149	132	113	100	16
3645	378	TP01528	1	8	33	46	115	67	97	83	165	98	114	99	31
3646	378	TP01528	1	9	46	33	98	85	82	118	149	120	80	101	33
3647	378	TP01528	1	10	50	45	99	49	115	99	115	130	99	98	18
3648	378	TP01528	1	11	31	48	97	51	114	99	131	132	115	102	42
3649	378	TP01528	1	12	47	32	115	66	98	116	148	115	97	83	16
3650	378	TP01528	1	13	29	50	82	66	99	99	49	230	97	99	45
3651	378	TP01528	1	14	49	50	81	67	99	82	99	152	93	82	45
3652	378	TP01528	1	15	46	49	98	50	98	100	130	115	98	99	33
3653	378	TP01528	1	16	46	32	100	49	83	98	131	115	82	98	46
3654	378	TP01528	1	17	31	48	82	50	82	131	148	115	65	99	44
3655	378	TP01528	1	18	31	47	115	50	98	115	148	99	81	83	61
3656	378	TP01528	1	19	21	25	99	33	82	115	99	131	65	99	17
3657	378	TP01528	1	20	31	48	99	65	68	97	115	130	83	83	60
3658	378	TP01528	1	21	49	46	50	98	99	115	99	148	18	145	45
3659	378	TP01528	1	22	51	44	82	66	67	80	132	99	82	82	61
3660	378	TP01528	1	23	27	50	66	65	83	99	113	116	115	66	44
3661	378	TP01528	1	24	46	34	115	65	99	181	33	115	66	98	45
3662	378	TP01528	1	25	32	31	65	83	98	115	100	114	65	99	44
3663	378	TP01528	1	26	30	32	50	81	99	120	127	98	99	82	61
3664	378	TP01528	1	27	29	50	65	49	66	99	164	100	17	129	32
3665	378	TP01528	1	28	32	31	98	33	116	97	132	98	99	98	45
3666	378	TP01528	1	29	28	34	82	50	78	119	115	99	115	98	44
3667	378	TP01528	1	30	29	84	130	49	66	165	49	98	148	65	62
3668	378	TP01528	1	31	31	49	99	48	82	99	148	97	116	98	17
3669	378	TP01528	1	32	32	49	97	51	66	98	97	99	98	83	60
3670	378	TP01528	1	33	29	49	82	49	67	97	148	99	82	99	44
3671	378	TP01528	1	34	22	39	84	81	65	99	132	98	99	82	45
3672	378	TP01528	1	35	29	51	115	65	66	99	115	98	115	82	17
3673	378	TP01528	1	36	62	33	99	66	82	99	131	115	82	98	17
3674	378	TP01528	1	37	32	47	32	100	81	116	132	131	65	99	61
3675	378	TP01528	1	38	63	33	98	66	82	98	132	115	98	99	61
3676	378	TP01528	1	39	64	48	99	50	98	82	131	99	98	100	45
3677	378	TP01528	1	40	51	28	65	67	81	230	67	116	97	82	44
3678	378	TP01528	1	41	63	49	65	67	65	82	115	115	66	113	46
3679	378	TP01528	1	42	29	34	81	67	66	98	132	114	82	99	61
3680	378	TP01528	1	43	28	34	66	66	99	98	115	99	98	100	43
3681	378	TP01528	1	44	37	43	65	66	82	82	115	115	99	82	34
3682	378	TP01528	1	45	33	46	99	65	67	98	115	98	98	83	44
3683	378	TP01528	1	46	33	45	50	73	74	149	115	115	97	83	45
3684	378	TP01528	1	47	32	30	49	81	100	99	98	115	82	98	78
3685	378	TP01528	1	48	32	32	65	65	99	83	131	98	82	99	60
3686	378	TP01528	1	49	33	46	66	66	100	81	131	82	114	100	64
3687	378	TP01528	1	50	53	29	65	49	99	98	132	99	82	97	47
3688	378	TP01528	2	1	48	98	66	131	148	66	16	313	98	50	76
3689	378	TP01528	2	2	80	49	148	98	132	50	196	279	33	50	48
3690	378	TP01528	2	3	64	49	115	115	164	82	150	130	114	66	82
3691	378	TP01528	2	4	50	44	117	131	115	50	147	132	97	50	77
3692	378	TP01528	2	5	23	56	116	115	16	148	148	132	82	49	51
3693	378	TP01528	2	6	47	49	131	99	98	66	165	131	49	49	17
3694	378	TP01528	2	7	33	34	147	215	48	50	116	131	82	49	44
3695	378	TP01528	2	8	46	49	132	98	164	49	50	247	81	66	49
3696	378	TP01528	2	9	63	33	131	132	147	66	181	115	81	33	33
3697	378	TP01528	2	10	45	50	132	164	82	66	65	263	66	98	61
3698	378	TP01528	2	11	63	49	115	115	148	71	158	117	65	48	62
3699	378	TP01528	2	12	29	67	131	100	147	50	65	230	50	49	60
3700	378	TP01528	2	13	94	51	130	100	115	66	82	213	34	48	61
3701	378	TP01528	2	14	45	49	116	99	98	50	49	230	49	65	16
3702	378	TP01528	2	15	63	50	115	98	115	50	148	114	50	49	63
3703	378	TP01528	2	16	63	50	114	115	98	66	182	114	50	48	65
3704	378	TP01528	2	17	51	45	115	99	147	49	165	99	49	33	32
3705	378	TP01528	2	18	31	49	114	116	132	65	165	114	50	32	61
3706	378	TP01528	2	19	79	50	115	98	115	50	165	132	32	32	16
3707	378	TP01528	2	20	45	50	115	99	132	66	197	99	49	49	44
3708	378	TP01528	2	21	46	49	115	99	148	66	180	100	48	49	62
3709	378	TP01528	2	22	63	49	132	82	81	100	213	100	65	49	44
3710	378	TP01528	2	23	45	51	131	115	66	66	49	230	65	50	45
3711	378	TP01528	2	24	46	50	115	99	114	49	167	105	74	32	44
3712	378	TP01528	2	25	46	49	116	98	132	66	180	99	81	33	33
3713	378	TP01528	2	26	62	50	83	115	114	66	148	117	48	32	33
3714	378	TP01528	2	27	71	60	98	100	114	49	165	114	33	33	45
3715	378	TP01528	2	28	32	81	82	115	98	50	131	132	32	49	61
3716	378	TP01528	2	29	45	66	82	116	114	50	163	116	49	32	62
3717	378	TP01528	2	30	50	64	101	114	115	50	131	131	50	33	60
3718	378	TP01528	2	31	62	50	99	99	82	99	131	117	64	16	61
3719	378	TP01528	2	32	61	66	115	82	66	82	149	114	50	33	44
3720	378	TP01528	2	33	32	47	99	105	92	50	147	116	32	49	44
3721	378	TP01528	2	34	30	65	99	99	114	67	114	115	33	49	44
3722	378	TP01528	2	35	46	34	114	100	113	34	165	114	18	32	32
3723	378	TP01528	2	36	45	50	98	99	114	50	164	99	49	32	45
3724	378	TP01528	2	37	79	49	132	115	97	51	147	100	49	32	61
3725	378	TP01528	2	38	33	46	115	99	114	50	133	115	48	16	61
3726	378	TP01528	2	39	47	47	99	98	116	49	164	99	16	49	44
3727	378	TP01528	2	40	33	46	99	98	66	82	182	97	19	48	32
3728	378	TP01528	2	41	20	59	99	98	115	50	148	98	49	33	61
3729	378	TP01528	2	42	32	46	100	115	115	66	115	131	16	50	61
